Organisation,Location,Date,Rocket_Status,Price,Mission_Status
VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia","Fri Nov 20, 2009 10:43 UTC",Retired,20.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA","Mon Nov 16, 2009 19:28 UTC",Retired,450.0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Thu Nov 12, 2009 02:45 UTC",Active,30.8,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Tue Nov 10, 2009 14:22 UTC",Retired,20.0,Success
Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia","Mon Nov 02, 2009 01:50 UTC",Retired,13.0,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Oct 29, 2009 20:00 UTC",Active,200.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA","Wed Oct 28, 2009 15:30 UTC",Retired,450.0,Success
ULA,"SLC-3E, Vandenberg SFB, California, USA","Sun Oct 18, 2009 16:12 UTC",Active,109.0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Thu Oct 15, 2009 01:14 UTC",Retired,20.0,Success
ULA,"SLC-2W, Vandenberg SFB, California, USA","Thu Oct 08, 2009 18:51 UTC",Retired,0,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Oct 01, 2009 21:59 UTC",Active,200.0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Wed Sep 30, 2009 07:14 UTC",Retired,0,Success
ULA,"SLC-17B, Cape Canaveral SFS, Florida, USA","Fri Sep 25, 2009 12:20 UTC",Retired,0,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Wed Sep 23, 2009 06:21 UTC",Active,21.0,Success
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Thu Sep 17, 2009 19:19 UTC",Active,65.0,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Sep 17, 2009 15:55 UTC",Active,25.0,Success
MHI,"LA-Y2, Tanegashima Space Center, Japan","Thu Sep 10, 2009 17:01 UTC",Retired,112.5,Success
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA","Tue Sep 08, 2009 21:35 UTC",Active,109.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Mon Aug 31, 2009 09:28 UTC",Retired,0,Partial Failure
NASA,"LC-39A, Kennedy Space Center, Florida, USA","Sat Aug 29, 2009 03:59 UTC",Retired,450.0,Success
KARI,"LC-1, Naro Space Center, South Korea","Tue Aug 25, 2009 08:00 UTC",Retired,0,Failure
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Fri Aug 21, 2009 22:09 UTC",Active,200.0,Success
ULA,"SLC-17A, Cape Canaveral SFS, Florida, USA","Mon Aug 17, 2009 10:35 UTC",Retired,0,Success
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Tue Aug 11, 2009 19:47 UTC",Active,65.0,Success
Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan","Wed Jul 29, 2009 18:46 UTC",Retired,29.0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Jul 24, 2009 10:56 UTC",Retired,20.0,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Tue Jul 21, 2009 03:57 UTC",Retired,0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA","Wed Jul 15, 2009 22:03 UTC",Retired,450.0,Success
SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands","Tue Jul 14, 2009 03:36 UTC",Retired,7.0,Success
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Mon Jul 06, 2009 01:26 UTC",Retired,13.0,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Jul 01, 2009 17:52 UTC",Active,200.0,Success
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Tue Jun 30, 2009 19:09 UTC",Active,65.0,Success
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA","Sat Jun 27, 2009 22:51 UTC",Retired,164.0,Success
Land Launch,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Sun Jun 21, 2009 21:50 UTC",Retired,0,Success
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA","Thu Jun 18, 2009 21:32 UTC",Active,109.0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Wed May 27, 2009 10:34 UTC",Retired,0,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu May 21, 2009 21:53 UTC",Active,23.0,Partial Failure
Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA","Tue May 19, 2009 23:55 UTC",Active,40.0,Success
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Sat May 16, 2009 00:57 UTC",Active,65.0,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu May 14, 2009 13:12 UTC",Active,200.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA","Mon May 11, 2009 18:01 UTC",Retired,450.0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Thu May 07, 2009 18:37 UTC",Retired,20.0,Success
ULA,"SLC-2W, Vandenberg SFB, California, USA","Tue May 05, 2009 20:24 UTC",Retired,0,Success
VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia","Wed Apr 29, 2009 16:58 UTC",Retired,20.0,Success
CASC,"LC-7, Taiyuan Satellite Launch Center, China","Wed Apr 22, 2009 02:55 UTC",Active,30.8,Success
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean","Mon Apr 20, 2009 08:15 UTC",Retired,0,Success
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Mon Apr 20, 2009 01:15 UTC",Active,21.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Tue Apr 14, 2009 16:16 UTC",Retired,20.14,Success
KCST,"Pad 1, Tonghae Satellite Launching Ground, North Korea","Sun Apr 05, 2009 02:30 UTC",Retired,0,Failure
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA","Sat Apr 04, 2009 00:31 UTC",Active,123.0,Success
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Fri Apr 03, 2009 16:24 UTC",Active,65.0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Thu Mar 26, 2009 11:49 UTC",Retired,0,Success
ULA,"SLC-17A, Cape Canaveral SFS, Florida, USA","Tue Mar 24, 2009 08:34 UTC",Retired,0,Success
Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia","Tue Mar 17, 2009 14:21 UTC",Retired,13.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA","Sun Mar 15, 2009 23:43 UTC",Retired,450.0,Success
